##
## Word embedding test based on 50k crawled german texts.
##
## some results:
##

andreas ~ [match=martin,score=20]
andreas ~ [match=florian,score=19]
andreas ~ [match=erklaert,score=19]
andreas ~ [match=bernhard,score=19]

search for ahorn
ahorn ~ [match=birke,score=102]
ahorn ~ [match=rosskastanie,score=98]
ahorn ~ [match=erle,score=87]
ahorn ~ [match=hainbuche,score=80]
ahorn ~ [match=bergahorn,score=79]
ahorn ~ [match=eichen,score=73]
ahorn ~ [match=eiche,score=73]
ahorn ~ [match=olive,score=72]
ahorn ~ [match=hasel,score=71]
ahorn ~ [match=esche,score=70]
ahorn ~ [match=pappel,score=68]
ahorn ~ [match=platanen,score=63]
ahorn ~ [match=robinie,score=62]
ahorn ~ [match=schlehe,score=62]
ahorn ~ [match=raummeter,score=56]
ahorn ~ [match=buche,score=56]
ahorn ~ [match=baumarten,score=54]
ahorn ~ [match=eschen,score=54]
ahorn ~ [match=fichte,score=52]
ahorn ~ [match=festmeter,score=51]

search for BMW
BMW ~ [match=audi,score=67]
BMW ~ [match=einser,score=44]
BMW ~ [match=car2go,score=44]
BMW ~ [match=bmw-grossaktionaerin,score=43]
BMW ~ [match=bentley,score=43]
BMW ~ [match=daimler,score=41]
BMW ~ [match=peugeot,score=38]
BMW ~ [match=porsche,score=37]
BMW ~ [match=tourer,score=36]
BMW ~ [match=mini,score=36]
BMW ~ [match=e-klasse,score=36]
BMW ~ [match=nobelmarke,score=35]
BMW ~ [match=mercedes,score=34]
BMW ~ [match=baujahres,score=31]
BMW ~ [match=citroen,score=31]
BMW ~ [match=SGL,score=31]
BMW ~ [match=DIEZ,score=30]
BMW ~ [match=carsharing-anbieter,score=29]
BMW ~ [match=geely,score=28]
BMW ~ [match=Car2Go,score=28]

search for mozart
mozart ~ [match=brahms,score=81]
mozart ~ [match=beethoven,score=79]
mozart ~ [match=strawinsky,score=71]
mozart ~ [match=rachmaninow,score=67]
mozart ~ [match=mozarts,score=63]
mozart ~ [match=haydn,score=62]
mozart ~ [match=debussy,score=61]
mozart ~ [match=B-Dur,score=61]
mozart ~ [match=tschaikowsky,score=60]
mozart ~ [match=ravel,score=58]
mozart ~ [match=bartók,score=57]
mozart ~ [match=rossini,score=55]
mozart ~ [match=gounod,score=55]
mozart ~ [match=tschaikowski,score=53]
mozart ~ [match=d-Moll,score=50]
mozart ~ [match=ligeti,score=48]
mozart ~ [match=dvorak,score=48]
mozart ~ [match=cellokonzert,score=47]
mozart ~ [match=schumann,score=47]
mozart ~ [match=sinfonie,score=46]

search for borreliose
borreliose ~ [match=FSME,score=103]
borreliose ~ [match=infektionskrankheit,score=93]
borreliose ~ [match=zecke,score=85]
borreliose ~ [match=zecken,score=64]
borreliose ~ [match=infoportal,score=59]
borreliose ~ [match=matuschka,score=55]
borreliose ~ [match=wimbledonfinale,score=53]
borreliose ~ [match=BUKO,score=53]
borreliose ~ [match=herz-kreislauf-leiden,score=50]
borreliose ~ [match=toxoplasmose,score=50]
borreliose ~ [match=stimmrechtsanteil,score=49]
borreliose ~ [match=gesamtpolitischen,score=49]
borreliose ~ [match=fuchsbandwurm,score=48]
borreliose ~ [match=jobsicherheit,score=47]
borreliose ~ [match=kreislaufschwaeche,score=46]
borreliose ~ [match=nichtveroeffentlichung,score=45]
borreliose ~ [match=untermaschinerie,score=44]
borreliose ~ [match=LKV,score=44]
borreliose ~ [match=borrelien,score=43]
borreliose ~ [match=timurs,score=43]

search for rapunzel
rapunzel ~ [match=schneiderlein,score=76]
rapunzel ~ [match=aschenputtel,score=58]
rapunzel ~ [match=schneewittchens,score=58]
rapunzel ~ [match=tapferes,score=42]
rapunzel ~ [match=fellmer,score=42]
rapunzel ~ [match=cynthia,score=40]
rapunzel ~ [match=madagascar,score=38]
rapunzel ~ [match=ranjewskaja,score=37]
rapunzel ~ [match=maerchenfiguren,score=37]
rapunzel ~ [match=lehár,score=37]
rapunzel ~ [match=FOR,score=37]
rapunzel ~ [match=lernbereit,score=36]
rapunzel ~ [match=cinderella,score=36]
rapunzel ~ [match=getraute,score=36]
rapunzel ~ [match=bitterschokoladen,score=35]
rapunzel ~ [match=werbetour,score=34]
rapunzel ~ [match=peterchens,score=33]
rapunzel ~ [match=recha,score=33]
rapunzel ~ [match=maerchen,score=33]
rapunzel ~ [match=multi-channel-network,score=32]

search for schnupfen
schnupfen ~ [match=schuettelfrost,score=75]
schnupfen ~ [match=husten,score=75]
schnupfen ~ [match=fieber,score=62]
schnupfen ~ [match=durchfall,score=60]
schnupfen ~ [match=muskelschmerzen,score=59]
schnupfen ~ [match=heiserkeit,score=54]
schnupfen ~ [match=juckreiz,score=50]
schnupfen ~ [match=halsschmerzen,score=48]
schnupfen ~ [match=gliederschmerzen,score=48]
schnupfen ~ [match=hautausschlag,score=45]
schnupfen ~ [match=kopf-,score=45]
schnupfen ~ [match=grippe,score=45]
schnupfen ~ [match=hustenreiz,score=43]
schnupfen ~ [match=kopfweh,score=43]
schnupfen ~ [match=erbrechen,score=42]
schnupfen ~ [match=traenende,score=41]
schnupfen ~ [match=atembeschwerden,score=38]
schnupfen ~ [match=infekte,score=36]
schnupfen ~ [match=auswurf,score=36]
schnupfen ~ [match=asthma,score=36]

search for doping
doping ~ [match=gedopt,score=37]
doping ~ [match=dopingpraktiken,score=35]
doping ~ [match=megagrisevit,score=34]
doping ~ [match=anabolika,score=32]
doping ~ [match=langlaeuferinnen,score=31]
doping ~ [match=dopen,score=31]
doping ~ [match=dopingfaellen,score=30]
doping ~ [match=VKI,score=30]
doping ~ [match=blutdoping,score=29]
doping ~ [match=dopings,score=29]
doping ~ [match=tour-sieger,score=28]
doping ~ [match=doping-skandal,score=28]
doping ~ [match=systematisches,score=27]
doping ~ [match=steroide,score=27]
doping ~ [match=anti-doping,score=26]
doping ~ [match=testprogramm,score=26]
doping ~ [match=dopingmitteln,score=26]
doping ~ [match=lance,score=25]
doping ~ [match=anti-doping-,score=24]
doping ~ [match=wachstumshormonen,score=24]
